fileName,objectName,frequency,extension
M106-006G.fit,M106-006,Green,fit
M106-005G.fit,M106-005,Green,fit
m106-004G.fit,m106-004,Green,fit
M106-003G.fit,M106-003,Green,fit
M106-002G.fit,M106-002,Green,fit
M106-001G.fit,M106-001,Green,fit
M104-00XG.fit,M104-00X,Green,fit
M101-G.fit,M101-,Green,fit
M101-006G.fit,M101-006,Green,fit
M101-005G.fit,M101-005,Green,fit
M101-004G.fit,M101-004,Green,fit
M101-003G.fit,M101-003,Green,fit
M101-002G.fit,M101-002,Green,fit
M101-001G.fit,M101-001,Green,fit
LeoT-G.fit,LeoT-,Green,fit
Image-00XG.fit,Image-00X,Green,fit
IC1805-307G.fit,IC1805-307,Green,fit
IC1805-306G.fit,IC1805-306,Green,fit
IC1805-305G.fit,IC1805-305,Green,fit
IC1805-304G.fit,IC1805-304,Green,fit
IC1805-303G.fit,IC1805-303,Green,fit
IC1805-302G.fit,IC1805-302,Green,fit
IC1805-301G.fit,IC1805-301,Green,fit
Horse-002G.fit,Horse-002,Green,fit
Horse-001G.fit,Horse-001,Green,fit
Group2-G.fit,Group2-,Green,fit
Group20-G.fit,Group20-,Green,fit
G.fit,Unknown,Green,fit
G.fit,Unknown,Green,fit
G.fit,Unknown,Green,fit
G.fit,Unknown,Green,fit
G.fit,Unknown,Green,fit
G.fit,Unknown,Green,fit
G.fit,Unknown,Green,fit
combined-G.fit,combined-,Green,fit
Cocoon-001G.fit,Cocoon-001,Green,fit
cluster-G.fit,cluster-,Green,fit
cluster-010G.fit,cluster-010,Green,fit
cluster-009G.fit,cluster-009,Green,fit
cluster-008G.fit,cluster-008,Green,fit
cluster-007G.fit,cluster-007,Green,fit
cluster-006G.fit,cluster-006,Green,fit
cluster-005G.fit,cluster-005,Green,fit
cluster-004G.fit,cluster-004,Green,fit
cluster-003G.fit,cluster-003,Green,fit
cluster-001G.fit,cluster-001,Green,fit
CED214-003G.fit,CED214-003,Green,fit
CED214-002G.fit,CED214-002,Green,fit
Cave-002G.fit,Cave-002,Green,fit
Cave-001G.fit,Cave-001,Green,fit
C-002G.fit,C-002,Green,fit
C-001G.fit,C-001,Green,fit
Bubble-G.fit,Bubble-,Green,fit
7023-004G.fit,7023-004,Green,fit
7023-003G.fit,7023-003,Green,fit
7023-002G.fit,7023-002,Green,fit
7023-001G.fit,7023-001,Green,fit
6543-003G.fit,6543-003,Green,fit
6543-002G.fit,6543-002,Green,fit
6543-001G.fit,6543-001,Green,fit
37cluster-002G.fit,37cluster-002,Green,fit
37cluster-001G.fit,37cluster-001,Green,fit
3718-003G.fit,3718-003,Green,fit
3718-002G.fit,3718-002,Green,fit
3718-001G.fit,3718-001,Green,fit
300sG.fit,300s,Green,fit
2419-008G.fit,2419-008,Green,fit
2419-007G.fit,2419-007,Green,fit
2419-006G.fit,2419-006,Green,fit
2419-005G.fit,2419-005,Green,fit
2419-004G.fit,2419-004,Green,fit
2419-003G.fit,2419-003,Green,fit
2419-002G.fit,2419-002,Green,fit
2419-001G.fit,2419-001,Green,fit
2-001G.fit,2-001,Green,fit
1NGC7023-004G.fit,1NGC7023-004,Green,fit
1NGC7023-003G.fit,1NGC7023-003,Green,fit
1NGC7023-002G.fit,1NGC7023-002,Green,fit
1NGC7023-001G.fit,1NGC7023-001,Green,fit
WizardHa.fit,Wizard Nebula,Hydrogen Alpha,fit
Wizard3-002Ha.fit,Wizard3-002,Hydrogen Alpha,fit
Wizard3-001Ha.fit,Wizard3-001,Hydrogen Alpha,fit
Wizard2-003Ha.fit,Wizard2-003,Hydrogen Alpha,fit
Wizard2-002Ha.fit,Wizard2-002,Hydrogen Alpha,fit
Wizard2-001Ha.fit,Wizard2-001,Hydrogen Alpha,fit
wizard-003Ha.fit,wizard-003,Hydrogen Alpha,fit
wizard-002Ha.fit,wizard-002,Hydrogen Alpha,fit
wizard-001Ha.fit,wizard-001,Hydrogen Alpha,fit
Veil-Ha.fit,Veil-,Hydrogen Alpha,fit
Veil300-Ha.fit,Veil300-,Hydrogen Alpha,fit
Veil-002Ha.fit,Veil-002,Hydrogen Alpha,fit
Veil-001Ha.fit,Veil-001,Hydrogen Alpha,fit
TulipHa.fit,Tulip,Hydrogen Alpha,fit
Tulipchanged-007Ha.fit,Tulipchanged-007,Hydrogen Alpha,fit
Tulipchanged-006Ha.fit,Tulipchanged-006,Hydrogen Alpha,fit
Tulipchanged-005Ha.fit,Tulipchanged-005,Hydrogen Alpha,fit
Tulipchanged-004Ha.fit,Tulipchanged-004,Hydrogen Alpha,fit
Tulipchanged-003Ha.fit,Tulipchanged-003,Hydrogen Alpha,fit
tulip-003Ha.fit,tulip-003,Hydrogen Alpha,fit
tulip-002Ha.fit,tulip-002,Hydrogen Alpha,fit
tulip-001Ha.fit,tulip-001,Hydrogen Alpha,fit
TricomHa.fit,Tricom,Hydrogen Alpha,fit
Triangle-005Ha.fit,Triangle-005,Hydrogen Alpha,fit
Triangle-004Ha.fit,Triangle-004,Hydrogen Alpha,fit
Triangle-003Ha.fit,Triangle-003,Hydrogen Alpha,fit
Triangle-002Ha.fit,Triangle-002,Hydrogen Alpha,fit
Triangle-001Ha.fit,Triangle-001,Hydrogen Alpha,fit
totHa.fit,tot,Hydrogen Alpha,fit
totalHa.fit,total,Hydrogen Alpha,fit
Soul-IC1848-Ha.fit,Soul-IC1848-,Hydrogen Alpha,fit
SOULIC1848-007Ha.fit,SOULIC1848-007,Hydrogen Alpha,fit
SOULIC1848-006Ha.fit,SOULIC1848-006,Hydrogen Alpha,fit
SOULIC1848-004Ha.fit,SOULIC1848-004,Hydrogen Alpha,fit
SOULIC1848-003Ha.fit,SOULIC1848-003,Hydrogen Alpha,fit
